file_id,book_name,author,age,genre,age_group_label,age_group_id
children_1.txt,Три четверти,Анна Красильщик,12,Детская проза|Детские книги,2_младшая_школа,2
children_2.txt,Повести и рассказы,Аркадий Гайдар,12,Детская проза|Детские книги,2_младшая_школа,2
children_3.txt,"Оленёнок Крапинка, или Бархатистый носик",Холли Вебб,6,Детская проза|Детские книги,1_дошкольная_группа,1
children_4.txt,Сара и роль мечты,Холли Вебб,6,Детская проза|Детские книги,1_дошкольная_группа,1
children_5.txt,Как Гитлер украл розового кролика,Джудит Керр,6,Детская проза|Детские книги,1_дошкольная_группа,1
children_6.txt,Вместе весело шагать. Сборник,Коллектив авторов,6,Детская проза|Детские книги,1_дошкольная_группа,1
children_7.txt,В каждом времени – свои герои,Геннадий Волобуев,12,Детская проза|Детские книги,2_младшая_школа,2
children_8.txt,Молния,Антея Симмонс,12,Детская проза|Детские книги,2_младшая_школа,2
children_9.txt,Школа принцесс. Вот так принц!,Прунелла Бат,6,Детская проза|Детские книги,1_дошкольная_группа,1
children_10.txt,#ДругЗаДруга. Книга о дружбе животных и людей,Кристина Кретова,6,Детская проза|Детские книги,1_дошкольная_группа,1
children_12.txt,Рассказы про Россию. 1861—1922,Мариэтта Чудакова,12,Детская проза|Детские книги,2_младшая_школа,2
children_13.txt,Приключения Трисона в Альпах,Михаил Самарский,12,Детская проза|Детские книги,2_младшая_школа,2
children_14.txt,Волчье небо. 1944 год,Юлия Яковлева,12,Детская проза|Детские книги,2_младшая_школа,2
children_15.txt,Любопытный воробей и кот Тимофей,Михаил Фишельман,6,Детская проза|Детские книги,1_дошкольная_группа,1
children_16.txt,Истории для девочек (сборник),Лидия Чарская,6,Детская проза|Детские книги,1_дошкольная_группа,1
children_17.txt,"Утёнок Счастливчик, или Настоящий герой",Хелен Питерс,6,Детская проза|Детские книги,1_дошкольная_группа,1
children_18.txt,"Овечка Зефирка, или Чудесное спасение",Хелен Питерс,6,Детская проза|Детские книги,1_дошкольная_группа,1
children_19.txt,"Поросёнок Пуговка, или Счастливый случай",Хелен Питерс,6,Детская проза|Детские книги,1_дошкольная_группа,1
